Cluster Name,Frequency,Questions Count,Questions
Understanding early action in college admissions,2,2,"I meant early action
What if i did early action"
Scheduling classes,2,2,"How to schedule classes as a first year
How do i understand my student schedule"
Undergraduate student enrollment,2,2,"Undergraduate enrollment
How many undergraduate students attend"
Spring 2020 application deadline,2,2,"Hello i would like to know if u still accepting students for spring 2024
Can i still apply to st johns for fall 24"
Class hours and scheduling,2,2,"The class hours
The classes what days are available"
Spring semester move-in dates,2,2,"When is spring move in
What day is move in for spring semester"
Setting up a new student email address,2,2,"Setting up your school email for the first time
I am a new student trying to set up my email"
Summer job opportunities,2,2,"Summer jobs
What section are summer jobs in"
Doctoral programs offered,2,2,"Does st johns have doctorate programs
Hello do you have doctoral programs"
Understanding Meal Points and Meal Plans,2,2,"What are meal points
What is meal plan points"
Formstack Usage and Support,2,2,"Where do i find formstack
Where can i find formstack"
Finding and booking an appointment with a psychologist or therapist,2,2,"How to make an appointment with a psychiatrist
How to make an appointment with a psychologist"
Assistance with transcripts,2,2,"Help woth transcripts
Transcrip help"
Registering for parking services,2,2,"Register for a parking pass
Register for parking"
Paying the new student deposit,2,2,"Where can i summit my enrollment deposit
Where can i make new student deposit"
Issues with verification and activation codes,2,2,"Sms code isnt working
Why is the verification code not sending"
Acceptance of GED for admission,2,2,"Does having a ged accepted
Do you accept ged"
Honors dormitory options for college students,2,2,"Can a regular non honors student dorm there
What dorm is where the honors students live"
Funds required for obtaining an I20,2,2,"How much money do i have to show for the i20
I20 amount needed"
Understanding and identifying differences,2,2,"What is the difference
What are differences of these"
Annual Spring Events at Columbia University,2,2,"Spring events
What are the spring events this year"
Deadline for adding or dropping classes,2,2,"Last day to adddrop a course
When is the looast day to drop or add classes"
Public administration degrees and programs,2,2,"Public administration in masters degree
Im interested in pursuing a masters degree in public administration"
Campus housing availability and locations,2,2,"Wheres is the on campus housing
Where is campus housing"
Issues with the StarRez portal and login,2,2,"Starrez
Starrez portal"
TOEFL institution code,2,2,"What is the toefl code
Toefl code"
Accessing email after a certain period of time,2,2,"Is it possible to access the email after 365 days
Is there any way to retrieve email after graduation beyond 365 days"
GRE requirements for master's programs,2,2,"Do you require gre for slp masters
Is gre or gmat required for doing ms in finance"
Course requirements for psychology,2,2,"What courses would i take as a psych major
What are required courses in psycology"
Program duration,2,2,"Is this 18 month program
How long is the program"
Due dates and payment information for eBills,2,2,"When is the deadline for the ebill
When is my ebill due"
Transfer student status,2,2,"Im undergraduate transfer student
I am not a transfer student"
Financial aid eligibility and qualification,2,2,"How much possibility to get any sort of financial aid
How do i qualify to get financial aid"
Receiving an email,2,2,"I refer to an email from the college
Yes they do i received an email"
Obtaining academic records,2,2,"I dont see my academic records
Where can i get my academic record"
Trouble logging in to make a payment,2,2,"Im trying to pay for my duaghters credit but cant logon
Hi i am not able to sign into pay"
Locating and obtaining an invoice,2,2,"Where do i go to see my summer invoice
I dont know how to access the invoice"
Registering for the next semester,2,2,"Where do i go t register for next semester
Register for next semester"
Account lockout assistance,2,2,"I locked myself out of my account
Im locked out of my sccount"
Unenrolling from a university,2,2,"How do i unenroll at st johns university
How do i unenroll at st johns"
Curfew policies in college dorms,2,2,"Is there a curfew for the dorms
Are there curfews for living on campus"
Application deadline for Masters in Cybersecurity,2,2,"When is the deadline for fall 24 international student for ms in cybersecurity and information security
Application deadline for msc cybersecurity"
